asin,first_three_words,shortened_product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,sales_volume,delivery
B08GPJYY54,VTech VS113-5 Extended,VTech VS113-5 Extended Range 5,$119.95 ,$142.95 ,USD,4.0,1910,2,$75.26 ,100+ bought in past month,"FREE delivery Tue, Sep 24"
B003BNY7QG,AT&amp;T ML17939 2-Line,AT&amp;T ML17939 2-Line Corded,$70.32 ,$87.95 ,USD,4.3,1082,83,$40.32 ,200+ bought in past month,"FREE delivery Tue, Sep 24"
B08H85VZNX,Google Pixel 4a,"Google Pixel 4a Smartphone, 12",$130.00 ,$159.99 ,USD,4.0,1204,11,$109.85 ,50+ bought in past month,"FREE delivery Sat, Sep 21 Or fastest delivery Tomorrow, Sep 20 Only 2 left in stock - order soon."
B007P8DMBE,AT&amp;T TL88102 DECT,AT&amp;T TL88102 DECT 6.0 2-Li,$95.53 ,$119.95 ,USD,4.1,836,49,$38.11 ,100+ bought in past month,"FREE delivery Tue, Sep 24"
B07X4B9G32,Moto Z4 -,Moto Z4 - For Verizon - 128 GB,$80.29 ,$94.79 ,USD,4.2,795,8,$64.57 ,100+ bought in past month,"FREE delivery Fri, Sep 27 Or fastest delivery Tomorrow, Sep 20 Only 19 left in stock - order soon."
B08HVXC89J,LIVELY Jitterbug Flip2,LIVELY Jitterbug Flip2 - Flip ,$47.99 ,$79.99 ,USD,4.0,3219,11,$44.34 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B08FRS3R32,SAMSUNG Galaxy S20+,SAMSUNG Galaxy S20+ Plus 5G Fa,$249.70 ,$349.00 ,USD,3.7,305,8,$213.91 ,200+ bought in past month,"FREE delivery Tue, Sep 24 Only 1 left in stock - order soon."
B0845ZVJW3,Samsung Galaxy Note,"Samsung Galaxy Note 10+, 256GB",$264.95 ,$299.99 ,USD,4.2,2949,14,$217.95 ,200+ bought in past month,"FREE delivery Sat, Sep 21 Only 2 left in stock - order soon."
B0D19B2D19,SAMSUNG Galaxy Z,SAMSUNG Galaxy Z Flip 6 AI Cel,$944.96 ,"$1,219.99 ",USD,4.2,93,8,$899.99 ,300+ bought in past month,"FREE delivery Sep 23 - 24 Or fastest delivery Tomorrow, Sep 20"
B08R61G69Q,Google Pixel 4a,"Google Pixel 4a with 5G, 6.2&q",$135.00 ,$159.00 ,USD,3.8,866,10,$128.95 ,100+ bought in past month,"FREE delivery Sat, Sep 21 Only 4 left in stock - order soon."
B07R5CJDD7,Google - Pixel,Google - Pixel 3a X-Large with,$139.99 ,$479.00 ,USD,4.3,4559,20,$109.90 ,List: ,"FREE delivery Tue, Sep 24"
